word,sentiment,intensity,valence
博闻广识,Awe,5,1
不动摇,Awe,1,0
不落俗套,Awe,5,1
可骇,Fear,9,-1
不泄气,Awe,1,1
才气横溢,Awe,7,1
空落落,SadDisgustss,7,0
枯寂,Disgust,5,-1
苦口,SadDisgustss,7,0
狂恣,Disgust,9,-1
老辣,Disgust,5,-1
肋脦,Disgust,7,-1
哩哩罗罗,Disgust,3,-1
凛然,Awe,7,1
伶仃,SadDisgustss,7,0
令人厌倦,Disgust,7,-1
碌碌无为,Disgust,7,-1
马马虎虎,Disgust,5,-1
莽莽撞撞,Disgust,5,-1
没骨头,Disgust,7,-1
没两下子,Disgust,7,-1
没心眼儿,Disgust,3,-1
迷糊,Disgust,5,0
模棱两可,Disgust,5,-1
少见多怪,Disgust,3,-1
难上难,Disgust,5,-1
一塌糊涂,Disgust,9,-1
只顾自身利益,Disgust,9,-1
一个心眼儿,Awe,9,1
一级,Awe,9,1
有头脑,Awe,9,1
欣欣向荣,Awe,9,1
难驯服,Disgust,3,-1
闹闹嚷嚷,Disgust,7,-1
贫寒,SadDisgustss,3,0
铺张浪费,Disgust,7,-1
奇丑无比,Disgust,9,-1
气壮如牛,Awe,3,1
清苦,SadDisgustss,5,0
穷途潦倒,Disgust,7,-1
缺乏幽默,Disgust,5,-1
弱智,Disgust,9,-1
色迷迷,Disgust,9,-1
傻里傻气,Disgust,5,-1
神不知，鬼不觉,Disgust,3,0
失落,AFearry,7,0
食古不化,Disgust,7,-1
喧天,Disgust,9,-1
丰姿绰约,Awe,5,1
捉摸不定,Disgust,9,-1
特等,Joy,5,0
肝胆过人,Awe,3,1
高档化,Awe,3,1
高深莫测,Awe,1,0
革命性,Awe,3,1
功德无量,Awe,7,1
古朴,Awe,3,1
过得硬,Awe,3,1
很有抱负,Awe,5,1
数一数二,Awe,7,1
花容月貌,Awe,5,1
受吃,Awe,3,1
史无前例,Awe,7,1
圣礼,Awe,9,0
滑天下之大稽,Disgust,7,-1
生死不渝,Awe,7,0
深入人心,Awe,5,1
擅场,Awe,9,1
上赶,Disgust,7,-1
井然有序,Awe,5,1
举足轻重,Awe,5,1
人寿年丰,Awe,7,1
俊俏,Awe,5,1
确凿无疑,Awe,9,0
确定,Awe,9,0
老成练达,Awe,3,0
鼠胆,Disgust,9,-1
强势,Awe,1,0
浅显,Disgust,1,0
心胸狭隘,Disgust,9,-1
性格内向,Disgust,9,-1
千姿百态,Awe,7,1
气度恢宏,Awe,9,1
起眼儿,Awe,1,0
越轨,Disgust,9,-1
令人大开眼界,Awe,3,1
完美无疵,Awe,9,1
朴实无华,Awe,3,1
无上光荣,Awe,9,1
有嘴无心,Awe,9,1
逸乐,Awe,9,1
心宽,Awe,9,1
无污染,Awe,9,1
无拘束,Awe,9,1
闻过则喜,Awe,9,1
谈吐不俗,Awe,9,1
名副其实,Awe,5,1
喷香,Awe,3,1
哀莫大于心死,SadDisgustss,9,-1
安邦定国,Awe,9,1
金瓯无缺,Awe,7,1
我武惟扬,Awe,9,1
乃心王室,Awe,9,1
尽忠报国,Awe,9,1
杀身报国,Awe,9,1
忧国忘身,Awe,9,1
济世经邦,Awe,9,1
