user_id,user_screen_name,created_at,mid,text,comments,shares,likes
5393135816,寰亚SYHP,03月06日 22:21,4876419584762034,白俄罗斯明斯克法院，以缺席判决反对派人物季哈诺夫斯卡娅15年监禁。季哈诺夫斯卡娅被指控犯有12项罪名，包括“串谋违宪夺权”。去年2月26日，她单方面宣布自己是白俄罗斯领导人，目前在国外。,46, 11,318
7410831393,Flug,03月06日 22:21,4876419517649669,今天上了牌已经算完美结束了，俄罗斯历史别来烦我明天烦也行,,,
2492287940,航空新视野-赤卫,03月06日 22:21,4876419505324053,俄罗斯空天军装备的苏-35S战斗机，虽然这架战斗机的涂装掉色明显，不过有一说一，这照片拍得不错啊，俄罗斯这个空军基地的空气通透度真好啊。这样的自然环境下，容易出大片。,1, 1,6
7493188178,wzstywzgyb,03月06日 22:21,4876419472299499,俄罗斯铁路公司表示，在在满洲里方向的外贝加尔斯克口岸，俄方铁路运力仅仅能够满足14.2%左右的货运需求，俄罗斯企业库存堆积如山的商品无法快速变现。O针对还给中国的领土，俄罗斯有个新想法，俄方重点选在了黑瞎子岛来自@凤凰新闻客户端,,,
6856641319,蜗牛驮着大肥象,03月06日 22:21,4876419463122318,"🇷🇺⚔️🇺🇦截至15:00（莫斯科时间）的巴赫穆特之战情况……“绞肉机”将继续

◽️ 乌克兰军队发起反击以在完全撤离的情况下维持与城市的连接通道（尽管城市处于作战包围之下）。
◽️乌克兰司令部正在从城市中部分撤离驻军。通往 Konstantinovka 和 Chasiv Yar 的唯一道路处于俄罗斯部队的 展开全文c",3, 3,19
6409775405,鹅毛毛丹尼尔,03月06日 22:20,4876419416983923,"🇺🇦乌克兰武装部队担心俄罗斯军队的推进，正在加强切尔诺贝利地区的力量。
“国防军正在加强切尔诺贝利地区的防御，以防北方的进攻。他们已经开始在那里建造据点和防御工事。”媒体进行了报道。
最近，那里举行了军事演习。 L鹅毛毛丹尼尔的微博视频",5, 1,54
2353104594,我叫肥佬黎,03月06日 22:20,4876419311604368,"拼夕夕互助#互助拼多多# 0.3r出一次助力，可接多量。提供过程截图，可先刀后米

【还有少量新人】

2r 5次 5r20次 10r50次
支持先用后付！

我也是，在法国和瑞士待久了都有点吃不惯中餐了，另外附上法国和瑞士得地道食品在俄罗斯待久 ???在俄罗斯待久了 ???",,,
6377377000,用户6377377000,03月06日 22:20,4876419290635311,//分享网易视频:《俄罗斯的战术秘笈泄露，乌克兰如获至宝！》 O俄罗斯的战术秘笈泄露，乌克兰如获至宝！ @网易新闻客户端 #网易新闻#,,,
5564927603,无心简影,03月06日 22:19,4876419182365746,【#英国向欧洲大陆输气管道暂停供气#，或加剧欧洲大陆天然气短缺】据今日俄罗斯电视台网站报道，4日晚，运营商发布通知称，因设备故障问题，英国通过比利时向欧洲大陆输送天然气的重要管道之一“互连”天然气管道暂停供气，并持续至3月8日。此次管道的故障可能进一步加剧欧洲大陆天然气短缺的状况。 展开全文c,21, 6,105
7691648584,兵家环球超级军事大本营2023,03月06日 22:19,4876419152222112,中国兵家环球军事超级大本营:俄罗斯联邦车臣共和国总统被传病重，其儿子面见俄罗斯总统普金。#普金##车臣##俄罗斯#,,,
6450367173,快兰斯24小时财经直播2,03月06日 22:19,4876419001750514,实时播报：俄罗斯天然气股份公司（Gazprom）发售价值2.286亿欧元的本土债券，以置换其欧元债券。,,,1
2181597154,俄罗斯卫星通讯社,03月06日 22:19,4876418952204780,【中国出生人口减少冲击教育行业】几年前，孩子“入园难”“入园贵”的问题困扰着一些中国的父母们，而现在幼儿园“一孩难求”的话题引发热烈讨论。中国专家在接受俄罗斯卫星通讯社采访时表示，出生人口减少对中国的学校招生产生了较大冲击。学校可以抓住这一时机提高教学质量，并更加重视教育资源的合 展开全文c,15, 5,56
3450246104,币圈途说,03月06日 22:18,4876418935163785,"瓦格纳士兵的命运：死路一条。唉，动员兵又何尝不是这样。整个的俄罗斯仿佛被帝国梦催眠了一样，僵尸般地走向死亡。

#俄罗斯# #乌克兰# #乌克兰战争# #俄罗斯乌克兰#",2,,4
1528265135,公民网官网,03月06日 22:18,4876418859933913,【#俄罗斯顶级科学家在家中被皮带勒死#，系俄新冠疫苗研发者之一】 #俄新冠疫苗研发者被勒死家中# 当地时间3月2日，俄罗斯顶级科学家安德烈·博蒂科夫（Andrey Botikov）在位于莫斯科西北部的公寓里被人用皮带勒死。俄罗斯联邦调查委员会称，正对这起谋杀案进行调查。博蒂科夫是俄罗斯国家流行病学和微 展开全文c,,,
6338609061,用户6338609061,03月06日 22:18,4876418759265567,《西方最严厉制裁彻底失败，俄罗斯幽灵油轮出动，向全世界送货》此视频已有2138次播放，快来一起看看！O网页链接,,,1
5119959054,侍者达芬奇,03月06日 22:18,4876418712865384,"#白俄罗斯杯#

2022-23赛季，白俄罗斯杯四分之一决赛首回合，若基诺鱼雷（2:1）索利戈尔斯克矿工。

14′Aleksandr Chizh（德米特里·利萨科维奇助攻）、90+4′Evgeni Shevchenko/35′马克西姆·斯卡维什（点球）",,,
5893730317,清静无为道心,03月06日 22:18,4876418708152264,为什么美帝污蔑中国企业向俄罗斯提供非致命性援助？为什么美帝污蔑中国计划向俄罗斯提供致命性援助并叫嚣让中国付出沉重代价（当然，此举是美帝玩弄宋高宗与秦桧的莫须有手段罢了）？令人想到这样的一幕：深夜，胆小如鼠之人吹着口哨孤身过坟场。两个字可概括美帝的心态：恐惧！,,,
7630606656,鲁登君,03月06日 22:17,4876418633438156,"杨幂 思维的由此及彼
说到南非，自觉不自觉地会想到曼德拉；说到利比亚，自觉不自觉地会想到卡扎菲；说到伊拉克，自觉不自觉地会想到萨达姆；说到俄罗斯，自觉不自觉地会想到……当然，不同的人，会想到不同的人。",,,
6377377000,用户6377377000,03月06日 22:16,4876418351628600,//分享网易视频:《俄罗斯的战术秘笈泄露，乌克兰如获至宝！》 O俄罗斯的战术秘笈泄露，乌克兰如获至宝！ @网易新闻客户端 #网易新闻#,,,
5386586408,67号喜羊羊,03月06日 22:16,4876418300774087,谋杀！当地时间3月2日，俄罗斯顶级科学家安德烈·博蒂科夫（Andrey Botikov）在位于莫斯科西北部的公寓里被人用皮带勒死。 L67号喜羊羊的微博视频,12, 29,46
1613755807,罶89,03月06日 22:15,4876418116223433,《假如俄罗斯战败并解体，谁会是最大的受益者？》以现实而论，如果俄罗斯战败并解体，乌克兰无疑是最直接的受益者。对于法、德、意等欧洲大陆国家来说，如果俄罗斯战败和解体了，它们也算是受益者。O网页链接,,,
6244553417,今日俄罗斯RT,03月06日 22:15,4876418108627466,"【#俄罗斯空降部队突击画面#】俄罗斯空降部队在特别军事行动中突击了敌军的地面阵地。

3月6日，俄罗斯国防部公布了在乌克兰特别军事行动中以第一人称视角拍摄的空降部队作战画面。

俄国防部报告称，视频拍摄日期不明，但在此次行动中，俄士兵歼灭了乌克兰武装部队6名士兵，且俄方没有出现任何人员伤 展开全文c",62, 26,372
7295652442,PetrGumennik豆雁窝,03月06日 22:15,4876418063009484,"俄罗斯大奖赛决赛
给粉丝签名的选手们
Petr Gumennik
@ForBoikovaKozlovski
@DmitriAliev如诗的冰上轨迹

cr. nadergulovad",, 1,20
3450246104,币圈途说,03月06日 22:13,4876417562842086,"《金融时报》写道，由于担心乌克兰随后会收到远程导弹，俄罗斯没有从伊朗购买弹道导弹。

#乌克兰##乌克兰战争##俄乌局势##俄罗斯#",,,1
5880819126,Uglyllliiiu,03月06日 22:13,4876417521160917,读俄罗斯文学的第一步是先去先到一张人物关系图，凭借此我不用再挣扎在人名的漩涡中。,,,
5528178144,用户5528178144,03月06日 22:11,4876417151804016,"没有中国的军事援助，俄罗斯是打不赢的，俄罗斯“岳飞”预言
L用户5528178144的微博视频",,,
6454379658,剧不慌,03月06日 22:11,4876417140266867,"俄罗斯二战军事历史片:《猎杀 T-34 (2019)》
先👍后看，求关住@剧不慌
★ 俄罗斯金鹰奖最佳导演、最佳改编剧本、最佳视觉效果奖和最佳电影等九项提名

T-34，二战时期在苏联防御中使用的苏联中型战车。

影片根据二战真实事件改编 …
L独处的纳兰88的微博视频",3, 64,63
3172862130,嗯嗯好的好呢,03月06日 22:11,4876417055331512,"雪大的拍不出来❄️
俄罗斯的冬天真的太长
能体会到一些俄罗斯文学中的苦的",12,,17
5090053467,坦荡荡--,03月06日 22:11,4876416947325168,世纪之交的俄罗斯，四十八岁的普京。,,,
6244553417,今日俄罗斯RT,03月06日 22:10,4876416753077014,"【#俄罗斯唯一的女性宇航员将于近日返回地球#】3月6日，据俄罗斯国有航天集团公司网站上发布的报告称，俄罗斯唯一的女性宇航员安娜•基基娜将于3月9日与考察组成员一起乘坐美国“龙”飞船离开国际空间站返回地球。

据悉，安娜•基基娜10月作为“龙”飞船第5次商业任务（Crew-5）国际考察组成员到达国 展开全文c",6, 4,89
6294988897,这就是宇宙,03月06日 22:09,4876416628558596,介文汲：美国不断想通过俄乌冲突将中国大陆与俄罗斯划等号，但乌克兰不肯配合导致无法得逞#中国##台湾##俄乌局面##关注俄乌局面最新停顿# L这就是宇宙的微博视频,,,
