Link,Post,Poster_Screen_Name,Likes
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/636c79f2000000001c03d029,浸会校园穿搭|休闲活力校园风,香港浸会大学传理学院,22
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/636c78ce000000002402ba7f,浸会街采|校园穿搭第三弹：休闲活力校园风,香港浸会大学传理学院,6
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/636b65080000000006029170,GUFA2022 |全球大学电影奖放映会及线上颁奖,香港浸会大学传理学院,3
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/6361dcf9000000000a004b3d,浸会留学｜证明开具攻略｜手把手教学,香港浸会大学传理学院,73
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/635f8d7d00000000090021d7,浸会传理留学日常4⃣️｜🇭🇰海洋公园自助午餐,香港浸会大学传理学院,45
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/6359f511000000001402620e,浸会传理留学日常3⃣️ ｜香港本地电影之旅,香港浸会大学传理学院,23
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/6358c08a000000001601880f,浸会校园穿搭 | 主宰自己的世界,香港浸会大学传理学院,9
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/6358be51000000001601bc16,浸会街采|校园穿搭第二弹：主宰自己的世界,香港浸会大学传理学院,27
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/6357514e0000000014035fc9,浸会传理📪毕业信箱开启！欢迎你来投稿～,香港浸会大学传理学院,3
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/635647c0000000001401ed4b,浸大生活| 📝校医院就医指南,香港浸会大学传理学院,102
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/635255210000000015021175,浸会校园穿搭 | 简约里的创意,香港浸会大学传理学院,23
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63525337000000001401e51e,浸会街采|校园穿搭第一弹：简约里的创意,香港浸会大学传理学院,54
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/6350f29a000000001402918d,浸会传理留学日常2️⃣| 院系下午茶游船安排！,香港浸会大学传理学院,26
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/634f99e3000000000601fbe8,浸会传理留学日常1⃣️到香港新闻博览馆上课,香港浸会大学传理学院,35
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/634e47390000000007016678,浸会街采 | 耳机分我一半，你在听什么？,香港浸会大学传理学院,104
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/634cd3920000000007014a85,浸会留学｜🔛传媒生毕业发展方向有哪些？,香港浸会大学传理学院,57
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/6350f29a000000001402918d,浸会传理留学日常2️⃣| 院系下午茶游船安排！,香港浸会大学传理学院,26
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/634f99e3000000000601fbe8,浸会传理留学日常1⃣️到香港新闻博览馆上课,香港浸会大学传理学院,35
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/634e47390000000007016678,浸会街采 | 耳机分我一半，你在听什么？,香港浸会大学传理学院,104
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/634cd3920000000007014a85,浸会留学｜🔛传媒生毕业发展方向有哪些？,香港浸会大学传理学院,57
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63462f7c000000001d025684,真实电影双周2022｜不容错过的校内影展‼️,香港浸会大学传理学院,29
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63462dbc000000000b010f38,浸大风景｜CVA传理学院天台🥤放风好去处,香港浸会大学传理学院,103
