ISO_code,countries,region,personal freedom,economic freedom,human freedom,GDP(million)
ALB,Albania,Europe,7.596280576,7.54,7.568140288,13039.35274
DZA,Algeria,Middle East & North Africa,5.281772109,4.99,5.135886055,170370.8109
AGO,Angola,Sub-Saharan Africa,6.111324364,5.17,5.640662182,124209.3858
ARG,Argentina,Latin America,8.099695682,4.84,6.469847841,637590.4193
ARM,Armenia,Asia,6.912803602,7.57,7.241401801,11536.59064
AUS,Australia,Oceania,9.184438453,7.98,8.582219227,1323421.072
AUT,Austria,Europe,9.246948401,7.58,8.4134742,416595.6664
AZE,Azerbaijan,Asia,5.676553478,6.49,6.083276739,40747.79224
BHS,Bahamas,Latin America,7.454537846,7.34,7.397268923,12162.1
BHR,Bahrain,Middle East & North Africa,6.136069994,7.56,6.848034997,35307.12766
BGD,Bangladesh,Asia,5.302600358,6.3,5.801300179,249723.8878
BLR,Belarus,Europe,6.059028163,6.23,6.144514082,54442.37437
BEL,Belgium,Europe,8.987178587,7.32,8.153589293,492681.283
BLZ,Belize,Latin America,7.430863836,6.86,7.145431918,1838
BEN,Benin,Sub-Saharan Africa,7.496976295,5.98,6.738488147,9273.558272
BTN,Bhutan,Asia,6.600972815,7.02,6.810486407,2511.852941
BOL,Bolivia,Latin America,7.206770015,6.23,6.718385007,37508.64211
BIH,Bosnia and Herzegovina,Europe,7.861447145,6.6,7.230723572,18168.57958
BWA,Botswana,Sub-Saharan Africa,6.876334453,7.43,7.153167226,17406.53078
BRA,Brazil,Latin America,6.665977406,5.75,6.207988703,2055505.502
BRN,Brunei Darussalam,Asia,4.663699718,6.93,5.796849859,12128.089
BGR,Bulgaria,Europe,8.155539077,7.41,7.782769538,56831.51829
BFA,Burkina Faso,Sub-Saharan Africa,7.45533967,6.05,6.752669835,12873.1148
BDI,Burundi,Sub-Saharan Africa,4.414134427,5.92,5.167067213,3477.502178
KHM,Cambodia,Asia,7.238448286,7.17,7.204224143,22158.2095
CMR,Cameroon,Sub-Saharan Africa,5.330774311,5.82,5.575387155,34798.59648
CAN,Canada,North America,9.151726642,7.98,8.565863321,1653042.795
CPV,Cape Verde,Sub-Saharan Africa,7.986583066,6.68,7.333291533,1753.736712
CAF,Central Afr. Rep.,Sub-Saharan Africa,5.465632394,5.11,5.287816197,1949.411659
TCD,Chad,Sub-Saharan Africa,5.50954107,5.44,5.474770535,9981.303726
CHL,Chile,Latin America,8.216035341,7.8,8.00801767,277075.9444
CHN,China,Asia,5.350820339,6.46,5.905410169,12237700.48
COL,Colombia,Latin America,7.021513273,6.5,6.760756637,309191.3828
COD,"Congo, Dem. R.",Sub-Saharan Africa,4.947256786,5.67,5.308628393,37241.30095
COG,"Congo, Rep. Of",Sub-Saharan Africa,6.777867694,5.02,5.898933847,8722.553001
CRI,Costa Rica,Latin America,8.165428969,7.55,7.857714484,57057.37247
CIV,Cote d'Ivoire,Sub-Saharan Africa,7.062542048,6,6.531271024,40388.62412
HRV,Croatia,Europe,8.456175752,6.96,7.708087876,54849.18023
CYP,Cyprus,Europe,8.514393916,7.71,8.112196958,21651.79175
CZE,Czech Rep.,Europe,9.029761414,7.56,8.294880707,215725.5344
DNK,Denmark,Europe,9.325639969,7.77,8.547819985,324871.9688
DOM,Dominican Rep.,Latin America,6.942574962,7.18,7.061287481,75931.65681
ECU,Ecuador,Latin America,7.550555359,6.06,6.80527768,103056.619
EGY,Egypt,Middle East & North Africa,3.894553773,5.72,4.807276886,235369.1293
SLV,El Salvador,Latin America,6.917901981,7.15,7.033950991,24805.4396
EST,Estonia,Europe,9.013701218,7.86,8.436850609,25921.07961
ETH,Ethiopia,Sub-Saharan Africa,5.064089941,5.73,5.397044971,80561.49613
FJI,Fiji,Oceania,7.792204395,6.79,7.291102197,5061.202767
FIN,Finland,Europe,9.294367917,7.65,8.472183958,251884.888
FRA,France,Europe,8.766802927,7.25,8.008401464,2582501.307
GAB,Gabon,Sub-Saharan Africa,5.315575222,5.84,5.577787611,14622.88089
GMB,"Gambia, The",Sub-Saharan Africa,5.302684702,7.34,6.321342351,1014.62152
GEO,Georgia,Asia,7.576535507,8.02,7.798267753,15159.28121
DEU,Germany,Europe,9.235191378,7.69,8.462595689,3677439.13
GHA,Ghana,Sub-Saharan Africa,7.872177815,6.6,7.236088908,47330.01634
GRC,Greece,Europe,7.94676815,6.46,7.203384075,200288.2771
GTM,Guatemala,Latin America,6.548245982,7.64,7.094122991,75620.09554
GIN,Guinea,Sub-Saharan Africa,5.371201607,5.93,5.650600803,10496.05673
GNB,Guinea-Bissau,Sub-Saharan Africa,6.859721724,5.25,6.054860862,1346.93349
GUY,Guyana,Latin America,7.041795873,6.31,6.675897936,3675.631961
HTI,Haiti,Latin America,7.184442588,6.51,6.847221294,8408.150518
HND,Honduras,Latin America,6.386482597,7.06,6.723241298,22978.5329
HKG,Hong Kong,Asia,8.583679591,8.97,8.776839796,341449.3405
HUN,Hungary,Europe,8.258945773,7.22,7.739472887,139135.0298
ISL,Iceland,Europe,9.083506216,7.22,8.151753108,23909.28998
IND,India,Asia,6.195871335,6.63,6.412935668,2597491.163
IDN,Indonesia,Asia,6.38131246,7.16,6.77065623,1015539.018
IRN,Iran,Middle East & North Africa,4.532449245,6.03,5.281224623,439513.5116
IRQ,Iraq,Middle East & North Africa,3.11602762,5.4,4.25801381,197715.736
IRL,Ireland,Europe,8.939129404,8.07,8.504564702,333730.7648
ISR,Israel,Middle East & North Africa,7.544916142,7.49,7.517458071,350850.5378
ITA,Italy,Europe,8.690446317,7.27,7.980223159,1934797.937
JAM,Jamaica,Latin America,7.268416093,7.18,7.224208046,14768.13491
JPN,Japan,Asia,8.73377055,7.47,8.101885275,4872136.946
JOR,Jordan,Middle East & North Africa,6.238666517,7.46,6.849333258,40068.30852
KAZ,Kazakhstan,Asia,6.375675545,7.11,6.742837772,159406.9264
KEN,Kenya,Sub-Saharan Africa,6.44553669,7.2,6.822768345,74938.19065
KOR,"Korea, South",Asia,8.766349858,7.53,8.148174929,1530750.923
KWT,Kuwait,Middle East & North Africa,5.630574474,6.75,6.190287237,120126.2776
KGZ,Kyrgyz Republic,Asia,6.247012954,6.93,6.588506477,7564.738836
LAO,Laos,Asia,5.863586171,6.91,6.386793085,16853.07962
LVA,Latvia,Europe,8.851068084,7.64,8.245534042,30264.45464
LBN,Lebanon,Middle East & North Africa,6.429994179,6.99,6.70999709,51844.48774
LSO,Lesotho,Sub-Saharan Africa,6.68844396,6.38,6.53422198,2639.386291
LBR,Liberia,Sub-Saharan Africa,6.403401744,6.56,6.481700872,2158
LBY,Libya,Middle East & North Africa,3.880565623,4.74,4.310282812,50984.36248
LTU,Lithuania,Europe,8.821338926,7.86,8.340669463,47168.30374
LUX,Luxembourg,Europe,9.257401822,7.6,8.428700911,62404.46127
MKD,Macedonia,Europe,7.413658024,7.13,7.271829012,11337.82733
MDG,Madagascar,Sub-Saharan Africa,6.835123509,6.19,6.512561755,11499.80381
MWI,Malawi,Sub-Saharan Africa,7.445213609,5.86,6.652606805,6303.277591
MYS,Malaysia,Asia,5.902979954,6.92,6.411489977,314500.279
MLI,Mali,Sub-Saharan Africa,6.060929471,5.8,5.930464736,15288.16337
MLT,Malta,Europe,8.977997462,7.73,8.353998731,12537.75073
MRT,Mauritania,Sub-Saharan Africa,4.987749776,5.96,5.473874888,5024.705934
MUS,Mauritius,Sub-Saharan Africa,7.717465632,8.01,7.863732816,13338.14752
MEX,Mexico,Latin America,6.796020397,6.9,6.848010198,1149918.795
MDA,Moldova,Europe,7.059029525,6.64,6.849514762,8128.493432
MNG,Mongolia,Asia,7.998312553,7.4,7.699156277,11488.04688
MNE,Montenegro,Europe,7.630104133,7.04,7.335052066,4774.086094
MAR,Morocco,Middle East & North Africa,5.986756512,6.37,6.178378256,109139.484
MOZ,Mozambique,Sub-Saharan Africa,6.659206645,5.5,6.079603322,12333.85993
MMR,Myanmar,Asia,5.463360869,5.42,5.441680434,69322.12276
NAM,Namibia,Sub-Saharan Africa,7.394915502,6.4,6.897457751,13244.59735
NPL,Nepal,Asia,6.91161139,6.53,6.720805695,24472.01323
NLD,Netherlands,Europe,9.39884236,7.71,8.55442118,826200.2825
NZL,New Zealand,Oceania,9.284819157,8.49,8.887409579,205852.8383
NIC,Nicaragua,Latin America,6.432494726,7.27,6.851247363,13814.26154
NER,Niger,Sub-Saharan Africa,5.714520097,6.01,5.862260048,8119.732793
NGA,Nigeria,Sub-Saharan Africa,5.823617206,6.32,6.071808603,375770.7137
NOR,Norway,Europe,9.342481133,7.6,8.471240566,398831.9565
OMN,Oman,Middle East & North Africa,5.509055213,6.76,6.134527607,72642.6528
PAK,Pakistan,Asia,5.324592448,6,5.662296224,304951.8185
PAN,Panama,Latin America,7.715240074,7.58,7.647620037,61838.1758
PNG,Pap. New Guinea,Oceania,7.254948816,6.25,6.752474408,21088.75848
