title,channel_title,views,likes,dislikes,comment_total,,,,,,,,,,
FALL MAKEUP TUTORIAL | Talk  Through Tutorial | Casey Holmes,Casey Holmes,246389,15307,247,1842,,,,,,,,,,
Can You Assume Sexuality Based on a First Impression? | Tell My Story,SoulPancake,331993,14276,626,1927,,,,,,,,,,
Minelli - Empty Spaces (Official Video) [Ultra Music],Ultra Music,265337,3986,197,252,,,,,,,,,,
What NOT to do at University,Daniel Howell,1560006,190937,793,19925,,,,,,,,,,
A tribute to Sir Bruce Forsyth - Strictly Come Dancing 2017: Launch,BBC Strictly Come Dancing,452338,6684,298,587,,,,,,,,,,
"Stephen A. Smith, Snoop Dogg and Magic Johnson discuss Colin Kaepernick | First Take | ESPN",ESPN,121447,1302,102,512,,,,,,,,,,
NEW In Beauty: September | Fleur De Force,Fleur DeForce,119670,3821,73,377,,,,,,,,,,
Doug hyde Summertime cake tutorial (ice cream van cake),Zoes Fancy Cakes,12393,761,6,45,,,,,,,,,,
The Constitution of the Spartans,Historia Civilis,230701,11767,184,1519,,,,,,,,,,
Super Mario 64 Online Release & Download,Kaze Emanuar,1023353,22255,264,3209,,,,,,,,,,
How Kanye Westâ€™s â€˜Graduationâ€™ Changed Music | Genius News,Genius,228731,9743,292,1119,,,,,,,,,,
Noel Gallagher Don't Look Back In Anger We Are Manchester 9/9/17 Oasis,stuhutchings,127097,1068,61,260,,,,,,,,,,
what is derealisation / depersonalisation?,doddlevloggle,157166,19869,77,2027,,,,,,,,,,
Viral Instagram Makeup Trends!! Wavy Eyebrows Tested! Alisha Marie,AlishaMarie,1617120,83410,1014,7114,,,,,,,,,,
HOMEWARE ACCESSORIES HAUL | DECORATING OUR NEW FLAT,Inthefrow,61781,2543,58,267,,,,,,,,,,
FENTY BEAUTY by RIHANNA FULL REVIEW,James Charles,1152639,45401,4310,5708,,,,,,,,,,
Watch the moment this Sky News man just couldn't talk about Brexit anymore,The Poke,273962,3105,129,594,,,,,,,,,,
MINIMINTER REACTS TO KSI - ADAM'S APPLE,miniminter,3576396,155585,6168,6702,,,,,,,,,,
I Tried The Wavy Lips Trend?,grav3yardgirl,412117,16287,748,2254,,,,,,,,,,
Things you need to know about Pennywise,Jenny Nicholson,39245,2376,103,479,,,,,,,,,,
GOLD DIVA MACARONS- The Scran Line,The Scran Line,27794,1690,34,174,,,,,,,,,,
Try-On FALL HAUL! Fashion + Drugstore Makeup | Ingrid Nilsen,Ingrid Nilsen,185984,6155,129,320,,,,,,,,,,
Resumen de FC Barcelona vs RCD Espanyol (5-0),LaLiga Santander,688485,6543,509,350,,,,,,,,,,
Tom Fletcher Book Club at WHSmith,Tom Fletcher,50058,3299,14,241,,,,,,,,,,
Outrageous Post!,ItsWayPastMyBedTime,76714,5830,47,337,,,,,,,,,,
The Gettable Ken Bone | Real Time with Bill Maher (HBO),Real Time with Bill Maher,355492,4811,363,1478,,,,,,,,,,
50 AMAZING Facts to Blow Your Mind! #88,MatthewSantoro,506525,13349,463,1492,,,,,,,,,,
"Arsenal 3-0 Bournemouth | It's Only One Game, I'm Still Not Confident (DT)",ArsenalFanTV,496166,8235,450,1098,,,,,,,,,,
These Are The Best Features Coming To iPhones.,UrAvgConsumer,352276,13098,508,1297,,,,,,,,,,
"Hurricane Irma Now a Category 3, Could 'Re-Engergize' to Category 4 | MSNBC",MSNBC,1769256,8048,2123,3359,,,,,,,,,,
"The Honda Civic has a very small feature, that I never noticed. Until now.",Jared's Garage,659654,3964,712,278,,,,,,,,,,
TESTING WEIRD PUPPY TOYS WITH PUPPY!!! *CUTE*,LaurDIY,1006825,57541,570,3333,,,,,,,,,,
IT - SPOILER Talk,Jeremy Jahns,787961,17140,1054,5521,,,,,,,,,,
Ed Sheeran EXTENDED INTERVIEW on The Graham Norton Show,The Graham Norton Show,236805,4631,67,201,,,,,,,,,,
Rashford and Woodburn not on Owen's level - Rio Ferdinand,Transfer News,43179,196,14,183,,,,,,,,,,
Sunbro Invades Saboten Con 2017,D Piddy,94048,5982,67,699,,,,,,,,,,
CR7 quiere VOLVER a INGLATERRA | Â¿MALA RELACIÃ“N KUN-GABRIEL JESÃšS? | LEWANDOWSKI â€˜sueÃ±aâ€™ con MADRID,Cracks,991790,47532,626,2006,,,,,,,,,,
FENTY BEAUTY by RIHANNA... HIT OR MISS?! | Jeffree Star,jeffreestar,5042942,183473,16578,19443,,,,,,,,,,
Halle Berry Gets a â€˜Magicâ€™ Surprise from Co-Star Channing Tatum,TheEllenShow,1683617,15347,690,887,,,,,,,,,,
President Trump Delivers a Statement on Hurricane Irma 9/10/17,Based Patriot,77753,805,82,636,,,,,,,,,,
Yosuke Ideguchi AMAZING Goal Japan vs Australia 2-0 (2018 FIFA World Cup Qualifiers),League Moments,1598,0,0,0,,,,,,,,,,
El DiÌa DespueÌs (11/09/2017): El primer dÃ­a de DembelÃ©,El DÃ­a DespuÃ©s,266862,5496,74,300,,,,,,,,,,
Sam Smith - Too Good At Goodbyes (Official Audio),SamSmithWorldVEVO,13721029,468496,6596,20989,,,,,,,,,,
WE SPEAK TO ARSENE WENGER!!! | Arsenal 3-0 Bournemouth | ðŸ’¥ AFTV Young Gunz ðŸ’¥,AFTV Young Gunz,47756,393,157,144,,,,,,,,,,
Stephen King's IT - What's the Difference?,CineFix,1307367,19733,984,3029,,,,,,,,,,
What Would You Do: Onlooker harasses parent with different race child,What Would You Do?,538100,15693,234,1962,,,,,,,,,,
AVICII: TRUE STORIES - Official Trailer,Avicii,76410,2193,17,156,,,,,,,,,,
I'd Fight Yaya Toure | Anthony Joshua and Chill ft. Poet and Vuj,COPA90,166386,6301,67,502,,,,,,,,,,
Asa Soltan Rahmati Talks About Her Late Friend Chester Bennington | Shahs of Sunset | WWHL,Watch What Happens Live with Andy Cohen,14268,80,5,9,,,,,,,,,,
ATOMEGA - Announcement Trailer | Ubisoft (US),Ubisoft US,59288,839,102,179,,,,,,,,,,
ROASTING YOUTUBERS' NAILS (nail diss),Simply Nailogical,1811958,133815,5380,23181,,,,,,,,,,
Killer Whales Attack Minke - Frozen Planet - BBC Earth,BBC Earth,163175,3337,111,447,,,,,,,,,,
Leeds v Burton,Burton Albion,5951,63,8,73,,,,,,,,,,
The $80 Smartphone Challenge,Austin Evans,387841,12097,458,1771,,,,,,,,,,
Welcome to JURASSIC FALLS!,Brave Wilderness,2384126,50006,1918,6584,,,,,,,,,,
24 Genres. Two Artists. One song. All voices. - Shape of You Ed Sheeran,Peter Hollens,699671,49246,995,4863,,,,,,,,,,
ZAYN - Dusk Till Dawn ft. Sia,ZaynVEVO,36297533,1431489,28044,100632,,,,,,,,,,
FENTY BEAUTY - FIRST IMPRESSIONS & REVIEW | JAMIE GENEVIEVE,Jamie Genevieve,413246,17086,338,1587,,,,,,,,,,
Match of the the Day's Premier League all-time XI - BBC Sport,BBC Sport,2594,100,2,17,,,,,,,,,,
What Does Your Search History Say About You?,AsapSCIENCE,1244984,29748,2639,4112,,,,,,,,,,
XQ Super School Live | Broadcast and Pre-Show,XQ America,104920,268,60,6,,,,,,,,,,
