title,channel_title,views,likes,dislikes,comment_total,,,,,,,,,,
Burning device filmed on tube carriage at Parsons Green station,Guardian Wires,923240,2158,842,2324,,,,,,,,,,
10 Reasons NOT To Buy iPhone X!,EverythingApplePro,3308603,61904,6165,19373,,,,,,,,,,
MYKONOS FAMILY HOLIDAY,PointlessBlogVlogs,410554,34871,312,3111,,,,,,,,,,
Homeware & Disney Primark Haul!,Sprinkleofglitter,169101,9519,203,1442,,,,,,,,,,
"Cardi B. On Her BET Nominations, Nicki Minaj, Dating Offset & Keeping It Hood",Breakfast Club Power 105.1 FM,1214081,22986,1435,8195,,,,,,,,,,
INSECURE Season 2 TRAILER (2017) HBO Series,Series Trailer MP,46997,162,24,8,,,,,,,,,,
100% PURE UNCUT HOLO *not drugz* *for nails*,Simply Nailogical,1367471,69538,869,11670,,,,,,,,,,
How The Cast Of It Should Really Look,Looper,883631,8847,833,1123,,,,,,,,,,
Miley Cyrus - See You Again in the Live Lounge,BBCRadio1VEVO,630265,33841,457,2182,,,,,,,,,,
We need to talk,RomanAtwoodVlogs,1913354,129734,4309,15167,,,,,,,,,,
Why Does the Mac Mini Exist in 2017?,Austin Evans,428136,14200,604,2336,,,,,,,,,,
Shakira - Perro Fiel (Official Video) ft. Nicky Jam,shakiraVEVO,10944543,333469,22685,31858,,,,,,,,,,
"Live Stream: Canelo vs. Golovkin Official Weigh-In â€“ Friday, Sept. 15 at 3:30pm ET/12:30pm PT",HBOBoxing,697385,3302,351,0,,,,,,,,,,
Jessie J - Think About That,JessieJVEVO,923053,51919,1789,3947,,,,,,,,,,
PLAYING WITH MAGIC MAKEUP?? | NikkieTutorials,NikkieTutorials,1715858,96449,1271,8973,,,,,,,,,,
Rick and Morty: Has Rick Changed?,ScreenPrism,124327,3231,205,393,,,,,,,,,,
Liverpool 1-1 Burnley: Jurgen Klopp Post-Match Press Conference,This Is Anfield,16673,109,55,330,,,,,,,,,,
Stormzy - Sweet Like Chocolate (Shanks & Bigfoot cover) in the Live Lounge,BBC Radio 1,192888,5026,139,318,,,,,,,,,,
OUR WEDDING PHOTOS,Helen Anderson,31927,2094,27,115,,,,,,,,,,
Crystal Maze Contestant Gets Stuck on Planet,The Crystal Maze,36381,353,19,97,,,,,,,,,,
NEVER BEEN THIS NERVOUS TO MEET SOMEBODY!,EstÃ©e Lalonde,37960,1555,40,138,,,,,,,,,,
BF/GF PRANK WARS HAVE BEGUN!,Wassabi Productions,794308,36054,693,4680,,,,,,,,,,
FLYING TO MY HOMELAND! - World Flight Episode 18,FunForLouis,49149,2132,47,352,,,,,,,,,,
We were the better team but had no Game Plan West Brom 0 West Ham 0,West Ham Fan TV,3635,94,8,27,,,,,,,,,,
Time to find out what's wrong at the DOCTORS!,Life of Tom,309703,11458,285,1361,,,,,,,,,,
Parsons Green: 'There was a human stampede' - BBC News,BBC News,83906,422,188,1149,,,,,,,,,,
Drawing Weird Australian Phrases (Feat. Draw with Jazza) (mate),TheOdd1sOut,1968298,86210,910,21538,,,,,,,,,,
Getafe vs Barcelona 1-2 - All Goals & Extended Highlights - La Liga 16/09/2017 HD,GOLAZO TV,673896,3294,247,393,,,,,,,,,,
Vampy Fall Look | New Makeup -- Nicole Guerriero,Nicole Guerriero,184411,11559,475,1415,,,,,,,,,,
Game of Thrones Conquest & Rebellion: An Animated History of the Seven Kingdoms (Clip),GameofThrones,1570154,48976,338,2222,,,,,,,,,,
3 DIY FRUIT FLAVORED CUPCAKES!,Rosanna Pansino,430729,20603,230,3756,,,,,,,,,,
BTS (ë°©íƒ„ì†Œë…„ë‹¨)Â 'DNA' Official Teaser 2,ibighit,8092992,654224,4749,73710,,,,,,,,,,
The Insane Full House Theory That Might Be True,Cracked,888653,13329,4296,2607,,,,,,,,,,
New! BURTS BEES GOODNESS GLOWS FOUNDATION {First Impression & Demo!} 15 DAYS OF FOUNDATION,thataylaa,142510,9380,134,1424,,,,,,,,,,
Everything I Ate In PARIS | Food Diary Friday Vlog | Melanie Murphy,Melanie Murphy,33720,2275,44,479,,,,,,,,,,
ALL THE MONEY IN THE WORLD - Official Trailer (HD),Sony Pictures Entertainment,1101130,4655,201,558,,,,,,,,,,
Pregnancy CHAT & BUMP Update! 19-23 Weeks | Fleur De Vlog,FleurDeVlog,146365,7248,131,1210,,,,,,,,,,
Fall Out Boy - The Last Of The Real Ones,FallOutBoyVEVO,1733462,108812,1883,10698,,,,,,,,,,
My Day at Apple with the new iPhone X!,iJustine,668168,21169,1443,2311,,,,,,,,,,
Mother! - Movie Review,Jeremy Jahns,351831,11515,288,1193,,,,,,,,,,
I Ordered The First 5 Free Things From Wish,Safiya Nygaard,3150013,131964,1511,9155,,,,,,,,,,
Cool Hand Luke - Harry Dean Stanton - Just A Closer Walk With Thee,The Elvish Magic,116241,507,11,108,,,,,,,,,,
Close look at Victoria Beckham Make up Products,pixiwoo,104553,4390,110,597,,,,,,,,,,
My Butt Has Some Complaints About Australia,vlogbrothers,203117,10895,460,2545,,,,,,,,,,
VEGAN BANANA BREAD & DINNER AT CLARIDGES,SamanthaMariaVlogs,99106,4353,78,362,,,,,,,,,,
Bill SkarsgÃ¥rd's Demonic â€œIT Smile  - CONAN on TBS,Team Coco,5762348,68932,1424,4043,,,,,,,,,,
Champions League Highlights | Feyenoord 0-4 Manchester City,BT Sport,189473,2015,73,146,,,,,,,,,,
OMG!  Fights break out as Cologne fans take over London Arsenal vs Cologne Full video,J.A.J News,92135,165,143,197,,,,,,,,,,
GET READY WITH ME: PR UNBOXING AND TESTING NEW MAKEUP COLLECTIONS | VLOG 35,Inthefrow,76164,2838,83,285,,,,,,,,,,
TWIN PEAKS 2017 clip - Red River Valley,Aidan Pang,56633,601,3,83,,,,,,,,,,
Harry Dean Stanton - Blue Eyes Crying In The Rain,shadjal,93114,1070,5,81,,,,,,,,,,
Lethal Bizzle Teaches Dame Judi Dench How To Rap,LADbible,175751,1877,42,140,,,,,,,,,,
"DID I REALLY BUY SHOES ON EBAY? | YEEZYS, VALENTINO AND STRAIGHT UP COPIES.",Patricia Bright,674344,26025,547,2342,,,,,,,,,,
CHANGING MY HAIR! | Amelia Liana,Amelia Liana,81668,2095,103,378,,,,,,,,,,
EXPOSING WHAT MY SCHOOL WAS LIKE,MoreMarcus,31913,2573,14,560,,,,,,,,,,
Watford 0-6 - Manchester City - Pep Guardiola Full Post Match Press Conference - Premier League,BeanymanSports,20878,266,4,115,,,,,,,,,,
Trapped in a Snake Tank Pt. 2: 6ft Boa Constrictor,Good Mythical Morning,1275732,37493,503,3601,,,,,,,,,,
Nick Jonas Is the New Late Late Intern,The Late Late Show with James Corden,446859,10441,93,355,,,,,,,,,,
BLINDFOLD GYMNASTICS CHALLENGEðŸ˜±,Nile Wilson,286064,8837,406,315,,,,,,,,,,
I'M SO DONE WITH THIS..,Dina Tokio,228082,7111,548,742,,,,,,,,,,
What will you be Turned Into in Space in 60 Seconds Without a Spacesuit,Meet Arnold,1880966,37113,1235,4211,,,,,,,,,,
The Repo Code - Repo Man (4/10) Movie CLIP (1984) HD,Movieclips,116817,411,11,106,,,,,,,,,,
"Hello, world. Meet our baby girl: Alexis Olympia Ohanian, Jr.",Alexis Ohanian,2237809,23183,4577,6973,,,,,,,,,,
LEGO Ultimate Collectors Series Millennium Falcon (2017) Review!,Tested,174973,4720,100,542,,,,,,,,,,
Shawn Mendes Got Roughed Up by Drake's Security Team,The Tonight Show Starring Jimmy Fallon,1040702,41671,320,1708,,,,,,,,,,
IT PENNYWISE GLAM HALLOWEEN MAKEUP TUTORIAL,Glam&Gore,558988,56447,203,4159,,,,,,,,,,
"De La Ghetto, Daddy Yankee, Ozuna & Chris Jeday - La Formula | Video Oficial",Warner Music,5743857,108710,2180,5849,,,,,,,,,,
London police investigate explosion on train,ABC News,47906,358,58,438,,,,,,,,,,
FAMILY PHOTOSHOOT!,SACCONEJOLYs,195256,9450,142,671,,,,,,,,,,
Lana Del Rey - White Mustang (Official Video),LanaDelReyVEVO,4272766,259500,4137,19035,,,,,,,,,,
Dua Lipa x Gallant // In The Room // Episode 6,Gallant,174169,11308,54,498,,,,,,,,,,
Official US Find Your Voice Trailer - Disney/Pixar's Coco,Disneyâ€¢Pixar,1088162,12106,868,1789,,,,,,,,,,
IS IT A SCAM?? || SHEIN TRY-ON HAUL,leighannsays,78907,3688,151,667,,,,,,,,,,
Machine Gun Kelly - Let You Go,MGKVEVO,1560453,74601,1996,3552,,,,,,,,,,
"SOY PABLO Extended Trailer  -- A Bad Lip Reading of Narcos, a Netflix Original Series",Bad Lip Reading,1213659,49375,937,3003,,,,,,,,,,
Sarah Sanders Ducks Question About Donald Trump's Hypocrisy,Chris York,6444,7,26,17,,,,,,,,,,
Sean Spicer on Inauguration Crowd and Press Corps,Jimmy Kimmel Live,559269,3332,411,635,,,,,,,,,,
Dillon Francis Hurts His Body with Spicy Wings | Hot Ones,First We Feast,717397,23899,442,3329,,,,,,,,,,
"The Road to 5,000,000! [LIVE]",Marques Brownlee,722622,35817,730,4923,,,,,,,,,,
The Impossible Big Mac Challenge DESTROYED,Matt Stonie,2142939,75357,1695,8481,,,,,,,,,,
THE PERFECT CLONE,KickThePj,42929,6640,17,752,,,,,,,,,,
"Life After Hate | September 13, 2017 Act 3 | Full Frontal on TBS",Full Frontal with Samantha Bee,362609,7037,1853,1573,,,,,,,,,,
FENTY BEAUTY - Worth The Hype?! | Fleur De Force,Fleur DeForce,163136,5999,171,491,,,,,,,,,,
SPIKED by a Sea Urchin?,Brave Wilderness,2333091,46798,954,5702,,,,,,,,,,
Norm Macdonald Is A Comic Genius,Nerdwriter1,332897,16174,613,1378,,,,,,,,,,
The xx - On Hold (Jamie xx Remix),The xx,256804,7821,141,366,,,,,,,,,,
BACK TO SCHOOL OUTFIT IDEAS // Grace Helbig,Grace Helbig,135115,12921,125,805,,,,,,,,,,
"NYFW, LIMO RIDES & A BIG UNBOXING | Carli Bybel",Carli Bybel,394413,15785,590,2065,,,,,,,,,,
1 YEAR OF VLOGGING -- HOW LOGAN PAUL CHANGED YOUTUBE FOREVER!,Logan Paul Vlogs,6108995,369960,23206,38850,,,,,,,,,,
iPhone X (parody),jacksfilms,3037043,157871,1779,9107,,,,,,,,,,
Cathro Course Preview // 2017 SES Round 5 - Laggan Wolftrax,Ben Cathro,2331,101,0,34,,,,,,,,,,
æ¸¡è¾ºä¿¡ä¸€éƒŽç›£ç£ ãƒ–ãƒ©ãƒƒã‚¯ã‚¢ã‚¦ãƒˆ 2022 äºˆå‘Š,SonyPicturesJapan,170208,1305,8,85,,,,,,,,,,
VICTORIA BECKHAM COLLECTION | Hot or Not,Tati,648074,28201,626,3133,,,,,,,,,,
Lil Yachty - Better ft. Stefflon Don,LilYachtyVEVO,547781,30162,1175,3414,,,,,,,,,,
Resumen de Getafe CF vs FC Barcelona (1-2),LaLiga Santander,23907,601,14,63,,,,,,,,,,
TRANSITIONAL HIGH STREET HAUL | Samantha Maria,Samantha Maria,108987,4855,97,374,,,,,,,,,,
WELCOME BABY TAIKA!,Bart & Geo,432274,32792,160,4534,,,,,,,,,,
Apple iPhone X first look,The Verge,4633097,35110,7231,12823,,,,,,,,,,
How To Get Rid Of Blackheads And Whiteheads - BeBeautiful,Be Beautiful,64637,165,25,20,,,,,,,,,,
Gucci Mane - Curve feat The Weeknd [Official Audio],OfficialGucciMane,1725988,58874,967,2894,,,,,,,,,,
The Floor is Lava,RocketJump,1326308,60048,1488,2269,,,,,,,,,,
"Kevin Owens brutally attacks Mr. McMahon: SmackDown LIVE, Sept. 12, 2017",WWE,2963359,48973,2173,7835,,,,,,,,,,
Buying Things For The House & Getting Hurt | Tanya Burr,Tanya Burr,397928,11689,378,345,,,,,,,,,,
My DNA Test Results! I'm WHAT?!,emmablackery,261318,17396,318,1276,,,,,,,,,,
Playing with old fridges  Kills -  public information film 1970s UK advert,BlytheWorld1972,51725,485,17,176,,,,,,,,,,
Assassinâ€™s Creed Origins: Order of the Ancients | Trailer | Ubisoft [US],Ubisoft US,291155,7519,163,1398,,,,,,,,,,
Grace VanderWaal - Just The Beginning,GraceVanderWaalVEVO,126103,15922,53,809,,,,,,,,,,
Everything Wrong With Alien: Covenant In 16 Minutes Or Less,CinemaSins,1640351,38241,1160,6931,,,,,,,,,,
AUTOMATICA 4k - Robots Vs. Music - Nigel Stanford,Nigel John Stanford,107323,4757,35,560,,,,,,,,,,
Mayweather Calls Out Trump Hysteria,A1Cvenom,68071,639,13,223,,,,,,,,,,
PRETTYMUCH - Would You Mind (Official Video),PrettyMuchVEVO,194946,21601,369,2833,,,,,,,,,,
I Saw Her Standing There Paul McCartney & Bruce Springsteen@MSG New York 9/15/17,Jim Powers,53659,258,4,32,,,,,,,,,,
The real reason To Kill A Mockingbird became so famous,Vox,614701,16028,1911,1660,,,,,,,,,,
Fergie - You Already Know ft. Nicki Minaj,FergieVEVO,3501122,123552,9635,8211,,,,,,,,,,
Honest Trailers - The Mummy (2017),Screen Junkies,1644818,37538,1218,4278,,,,,,,,,,
VLOG DAY 1&2 | TAKING ON LOS ANGELES WITH MY BESTFRIENDS!,makeupbymichaelfinch,245466,12719,537,1506,,,,,,,,,,
PUBG AIRSOFT - REAL LIFE BATTLEGROUNDS!,Node,718952,18342,668,2121,,,,,,,,,,
Bell's Theorem: The Quantum Venn Diagram Paradox,minutephysics,868727,35003,944,3751,,,,,,,,,,
A HOME DAY VLOG | Lily Pebbles,Lily Pebbles,96935,3537,291,589,,,,,,,,,,
Angelica Hale: 10-Year-Old Singer Blows The Audience Away - America's Got Talent 2017,America's Got Talent,2259132,38692,1573,4566,,,,,,,,,,
Lore - Official Trailer [HD] | Amazon Video,Amazon Video,110540,726,38,49,,,,,,,,,,
BOBBY - â€˜RUNAWAYâ€™ M/V,iKON,757894,85209,341,4491,,,,,,,,,,
TWICEã€ŒOne More Timeã€TEASER,TWICE JAPAN OFFICIAL YouTube Channel,967027,44203,2429,4214,,,,,,,,,,
Rudimental - Sun Comes Up feat. James Arthur [Official Video],Rudimental,656551,16655,278,489,,,,,,,,,,
Best Floyd Mayweather Interview | Awkward Puppets,Awkward Puppets,1261476,47347,798,3205,,,,,,,,,,
Meet Me in the Gap - Cher & Future - Full TV Spot,Gap,181885,1037,189,344,,,,,,,,,,
Mario Party: The Top 100 - Announcement Trailer - Nintendo 3DS,Nintendo,235698,6319,235,1990,,,,,,,,,,
Jim Carrey Explains Bizarre Interview at New York Fashion Week (2017),WalrusRider,152657,273,526,329,,,,,,,,,,
Radiohead - Lift,Radiohead,1726466,60570,875,4609,,,,,,,,,,
Nerf Bow Trick Shots | Dude Perfect,Dude Perfect,13686030,432761,9366,21853,,,,,,,,,,
FALL ESSENTIALS YOU NEED! BEAUTY & LIFESTYLE | Casey Holmes,Casey Holmes,251940,14092,215,1817,,,,,,,,,,
Weezer - Beach Boys,weezer,83980,2119,351,620,,,,,,,,,,
"REVEALED - FIFA 18 stats for Chelsea's Hazard, Luiz & Christensen!",Rio Ferdinand Presents FIVE,630442,13712,207,503,,,,,,,,,,
S'mores Alaska with Italian Meringue PLUS a Special Announcement! | Cupcake Jemma,CupcakeJemma,69148,3526,16,229,,,,,,,,,,
261 kph WATER ROCKET TRIKE Ç€ 0-100 kph in 0.55 second (5.1g) Ç€ Rider: FranÃ§ois Gissy,FranÃ§ois Gissy,168663,474,8,51,,,,,,,,,,
A Day In The Life: What I Eat In A Day | The Anna Edit,The Anna Edit,75040,2655,81,150,,,,,,,,,,
Kelly Clarkson Talks American Idol & Dr. Luke | Interview,Z100 is New York,51836,271,5,32,,,,,,,,,,
Bryson Tiller - Run Me Dry (Official Video),BrysonTillerVEVO,1436828,69432,702,3635,,,,,,,,,,
Film Theory: Ariel is RELATED to Hercules?! (Disneyâ€™s Connected Universe),The Film Theorists,1771265,109489,3629,20727,,,,,,,,,,
Juicy Chicken Breast - You Suck at Cooking (episode 65),You Suck At Cooking,711888,30520,903,2137,,,,,,,,,,
getting into a conversation in a language you don't actually speak that well,ProZD,2227312,85406,2060,4287,,,,,,,,,,
Downsizing (2017) - Official Trailer - Paramount Pictures,Paramount Pictures,3447187,12241,535,1743,,,,,,,,,,
GET READY WITH ME! - ft. old friend,Madeyewlook,130634,8583,40,646,,,,,,,,,,
Carly Rae Jepsen - Cut To The Feeling,CarlyRaeJepsenVEVO,385794,20110,476,1232,,,,,,,,,,
What's Actually the Plane of the Future,Wendover Productions,1016803,25296,998,2705,,,,,,,,,,
Berry Frozen Yogurt Bark Recipe,SORTEDfood,97159,4454,33,248,,,,,,,,,,
The Child in Time: Trailer - BBC One,BBC,83103,1612,21,140,,,,,,,,,,
Does Maggie Gyllenhaal Have Taylor Swiftâ€™s Scarf? | WWHL,Watch What Happens Live with Andy Cohen,158271,320,63,139,,,,,,,,,,
Automatic For The People 25th Anniversary Trailer,remhq,19549,342,19,47,,,,,,,,,,
Finally Wendy with Cece Peniston!,Wendy Williams,31832,843,26,128,,,,,,,,,,
Painting With My Rat Son ðŸ€ðŸ¾,Kiera Rose,17813,1946,46,336,,,,,,,,,,
Hand In Hand A Benefit For Hurricane Relief | MTV,MTV,454792,10554,644,1001,,,,,,,,,,
Farage to Juncker: You've Learnt Nothing from Brexit,Ross Kempsell,14954,146,35,82,,,,,,,,,,
The Problem With Our Phones,The School of Life,279648,13618,561,1175,,,,,,,,,,
The Clowns Who Say the 'IT' Movie Could Ruin Their Careers | This Morning,This Morning,256920,2511,2427,0,,,,,,,,,,
Bolton 0-1 Blades - match action,SheffieldUTube,12484,160,4,36,,,,,,,,,,
What Do You Want to Eat?!,Wong Fu Productions,549701,21979,505,1567,,,,,,,,,,
MY BABY!,Jim Chapman,23399,1509,23,108,,,,,,,,,,
Jumping Through Impossible Shapes!,Rclbeauty101,1929955,63428,2173,5218,,,,,,,,,,
It's Time For The Jack & Reiss Show!!! | Arsenal v FC KÃ¶ln Starting 11,ArsenalFanTV,100132,2005,102,707,,,,,,,,,,
What's In This 90s Mystery Caboodle?,grav3yardgirl,574712,21584,440,3446,,,,,,,,,,
Doom and Wolfenstein 2 for Switch Announcement Trailer,GameTrailers,32868,467,18,350,,,,,,,,,,
Fenty Beauty Pro Filt'r Foundation Review|| Nyma Tang #thedarkestshade,Nyma Tang,3570409,117856,1786,8467,,,,,,,,,,
Minecraft for New Nintendo 3DS Edition Revealed - Out Today! (Nintendo Direct 9.13.2017),GameXplain,44415,807,47,708,,,,,,,,,,
"Ringo Starr on peace, love, and why he thinks Brexit is a 'great move' - BBC Newsnight",BBC Newsnight,12874,168,69,0,,,,,,,,,,
"MOVING VLOG #2 | EVERYTHING IS PINK, A HOUSE TOUR OF WHAT I'VE DONE SO FAR+ BUILDING IKEA FURNITURE!",Emily Canham,180101,9815,105,995,,,,,,,,,,
Super Mario Odyssey - Nintendo Direct 13.09.2017,Nintendo UK,30998,197,2,17,,,,,,,,,,
6X EXTREME SPICY NOODLE CAR RIDE (I CRIED) | Ranz and Niana,Niana Guerrero,2141594,74966,1640,5891,,,,,,,,,,
How To Make LLOYD From The NEW LEGO NINJAGO MOVIE Out Of CAKE | Yolanda Gampp | How To Cake It,How To Cake It,635321,28975,306,3480,,,,,,,,,,
How Aaron Carter Deals with Stress,The Doctors,81765,163,14,83,,,,,,,,,,
Drowning for Power - Rooster Teeth Animated Adventures,Rooster Teeth,1003018,26958,766,1039,,,,,,,,,,
Jim Carrey Sounds Off on Icons and More at NYFW 2017 | E! Live from the Red Carpet,E! Live from the Red Carpet,3342091,21362,826,6283,,,,,,,,,,
The Good Boys Of YouTube (The Jimquisition),Jim Sterling,512715,27850,8421,10694,,,,,,,,,,
Minelli - Empty Spaces (Official Video) [Ultra Music],Ultra Music,802484,7945,372,482,,,,,,,,,,
Suicide Prevention Day - Words from Draven Sebastian Bennington,Sergey P,72015,407,3,41,,,,,,,,,,
[MV] GFRIEND(ì—¬ìžì¹œêµ¬) _ Summer Rain(ì—¬ë¦„ë¹„),1theK (ì›ë”ì¼€ì´),4140581,115696,6029,15531,,,,,,,,,,
IM GONNA BE A FATHER (Things Got Awkward),Wil Dasovich,1156241,31173,684,5492,,,,,,,,,,
Jim Carrey Gets Weird: Andy Kaufman Parallels & Making 'Jim & Andy: The Great Beyond' | TIFF 2017,The Hollywood Reporter,63613,662,20,215,,,,,,,,,,
The Sopranos Phil Leotardo scared Lorraine HD,ShowTime,141077,313,6,185,,,,,,,,,,
Marilyn Manson - WE KNOW WHERE YOU FUCKING LIVE (official audio),Marilyn Manson,605846,20424,343,2042,,,,,,,,,,
"Gigi Hadid Loses High Heel During Fashion Week, Walks It Off Like a Pro | TMZ",TMZ,855071,3385,2410,952,,,,,,,,,,
Tallest high top fade - Guinness World Records,Guinness World Records,81473,1567,80,306,,,,,,,,,,
Was It Worth It?,Bubzvlogz,168447,6496,48,433,,,,,,,,,,
Last Week I Found Jesus,DarkSquidge,91748,5671,68,1395,,,,,,,,,,
$3 Seafood Vs. $213 Seafood â€¢ Australia,BuzzFeedVideo,5344092,114278,2547,12399,,,,,,,,,,
Stevie Wonder Mocks Climate Change Deniers During 'Hand In Hand' Telethon,SanVic,35876,68,68,183,,,,,,,,,,
FENTY BEAUTY By Rihanna Review + Wear Test,Amy Macedo,76475,2966,100,375,,,,,,,,,,
"Exclusive: President Trump Being Drugged Ahead Of Coup, Sources Claim",The Alex Jones Channel,195210,4152,878,2807,,,,,,,,,,
Larry's Back & Nothing Has Changed | Curb Your Enthusiasm Season 9 Trailer #2 (2017) | HBO,HBO,617634,7179,148,946,,,,,,,,,,
How Computers Compress Text: Huffman Coding and Huffman Trees,Tom Scott,375746,19518,126,789,,,,,,,,,,
The Waterboys Best Hits,MikeSeanRickTrent,993070,2755,81,745,,,,,,,,,,
"Stephen A. Smith, Snoop Dogg and Magic Johnson discuss Colin Kaepernick | First Take | ESPN",ESPN,187464,1647,124,597,,,,,,,,,,
Zappacosta Scores A Screamer. Watch The Goals & More From Chelsea vs Qarabag | The Reaction,Chelsea Football Club,84959,2236,20,144,,,,,,,,,,
TESTING SOPH X MAKEUP REVOLUTION PALETTES!! | sophdoesnails,sophdoesnails,237390,17826,127,2379,,,,,,,,,,
FENTY BEAUTY by Rihanna Review + Tutorial | Alissa Ashley,Alissa Ashley,552088,38959,305,2532,,,,,,,,,,
Tommy Wiseau On Why James Franco Was Perfect For 'The Disaster Artist' | Los Angeles Times,Los Angeles Times,526878,9084,86,1142,,,,,,,,,,
Harrison Styles is heading in One Directionâ€¦ Boot Camp! | Auditions Week 2 | The X Factor 2017,The X Factor UK,191731,2828,77,0,,,,,,,,,,
Pitbull defends owner from being attacked by dog. (Graphic) 2017,PoeticConvict,6003,25,2,3,,,,,,,,,,
Can You Assume Sexuality Based on a First Impression? | Tell My Story,SoulPancake,410542,16886,656,1746,,,,,,,,,,
Doug hyde Summertime cake tutorial (ice cream van cake),Zoes Fancy Cakes,18873,977,8,45,,,,,,,,,,
"CNCO, Little Mix - ReggaetÃ³n Lento (Remix) [Official Video]",littlemixVEVO,1637737,260973,7112,30291,,,,,,,,,,
Burning device filmed on tube carriage at Parsons Green station,Guardian Wires,1096173,2829,1123,2891,,,,,,,,,,
Rick and Morty: Has Rick Changed?,ScreenPrism,417737,7266,654,940,,,,,,,,,,
We need to talk,RomanAtwoodVlogs,2278284,138867,7075,11177,,,,,,,,,,
Why Does the Mac Mini Exist in 2017?,Austin Evans,786180,19277,1208,3325,,,,,,,,,,
How The Cast Of It Should Really Look,Looper,1266615,11559,1233,1073,,,,,,,,,,
MYKONOS FAMILY HOLIDAY,PointlessBlogVlogs,704347,48975,539,3704,,,,,,,,,,
10 Reasons NOT To Buy iPhone X!,EverythingApplePro,4008285,68586,7088,18631,,,,,,,,,,
FLYING TO MY HOMELAND! - World Flight Episode 18,FunForLouis,85423,2984,87,504,,,,,,,,,,
Chelsea v Arsenal | Road Trip To Stamford Bridge!,ArsenalFanTV,65906,1662,79,702,,,,,,,,,,
NEVER BEEN THIS NERVOUS TO MEET SOMEBODY!,EstÃ©e Lalonde,66350,2311,72,190,,,,,,,,,,
100% PURE UNCUT HOLO *not drugz* *for nails*,Simply Nailogical,1826346,82531,1335,12968,,,,,,,,,,
Crystal Maze Contestant Gets Stuck on Planet,The Crystal Maze,71253,791,38,166,,,,,,,,,,
"Cardi B. On Her BET Nominations, Nicki Minaj, Dating Offset & Keeping It Hood",Breakfast Club Power 105.1 FM,1436119,26322,1637,7029,,,,,,,,,,
INSECURE Season 2 TRAILER (2017) HBO Series,Series Trailer MP,69018,284,88,47,,,,,,,,,,
Miley Cyrus - See You Again in the Live Lounge,BBCRadio1VEVO,1131274,51599,846,2744,,,,,,,,,,
Shakira - Perro Fiel (Official Video) ft. Nicky Jam,shakiraVEVO,15906476,415015,29656,31425,,,,,,,,,,
Getafe vs Barcelona 1-2 - All Goals & Extended Highlights - La Liga 16/09/2017 HD,GOLAZO TV,1002047,4241,337,545,,,,,,,,,,
"Live Stream: Canelo vs. Golovkin Official Weigh-In â€“ Friday, Sept. 15 at 3:30pm ET/12:30pm PT",HBOBoxing,818523,3466,443,0,,,,,,,,,,
OUR WEDDING PHOTOS,Helen Anderson,41057,2505,41,114,,,,,,,,,,
Jessie J - Think About That,JessieJVEVO,1285658,60836,2296,3942,,,,,,,,,,
PLAYING WITH MAGIC MAKEUP?? | NikkieTutorials,NikkieTutorials,2119461,111692,1616,7842,,,,,,,,,,
Daniel Dubois vs. AJ Carter,BoxingFan333,24604,98,8,73,,,,,,,,,,
BF/GF PRANK WARS HAVE BEGUN!,Wassabi Productions,970110,39891,1087,3914,,,,,,,,,,
I Saw Her Standing There Paul McCartney & Bruce Springsteen@MSG New York 9/15/17,Jim Powers,84599,422,7,50,,,,,,,,,,
Stormzy - Sweet Like Chocolate (Shanks & Bigfoot cover) in the Live Lounge,BBC Radio 1,249984,6464,176,321,,,,,,,,,,
"HIGHLIGHTS | MIDDLESBROUGH 3, QPR 2 - 16/09/17",Queens Park Rangers FC,4045,60,2,13,,,,,,,,,,
Time to find out what's wrong at the DOCTORS!,Life of Tom,321319,11727,334,914,,,,,,,,,,
Liverpool 1-1 Burnley: Jurgen Klopp Post-Match Press Conference,This Is Anfield,27261,162,68,434,,,,,,,,,,
3 DIY FRUIT FLAVORED CUPCAKES!,Rosanna Pansino,596689,24700,357,4613,,,,,,,,,,
Game of Thrones Conquest & Rebellion: An Animated History of the Seven Kingdoms (Clip),GameofThrones,1867066,54223,389,1996,,,,,,,,,,
Close look at Victoria Beckham Make up Products,pixiwoo,115658,4699,120,448,,,,,,,,,,
The Insane Full House Theory That Might Be True,Cracked,1213185,16816,5552,2636,,,,,,,,,,
Drawing Weird Australian Phrases (Feat. Draw with Jazza) (mate),TheOdd1sOut,2109838,89454,972,17024,,,,,,,,,,
Homeware & Disney Primark Haul!,Sprinkleofglitter,208478,10812,238,1549,,,,,,,,,,
BTS (ë°©íƒ„ì†Œë…„ë‹¨)Â 'DNA' Official Teaser 2,ibighit,10024916,718746,5925,129295,,,,,,,,,,
London train explosion being investigated as terrorist attack,Al Jazeera English,238734,794,156,654,,,,,,,,,,
ALL THE MONEY IN THE WORLD - Official Trailer (HD),Sony Pictures Entertainment,1455468,5633,252,695,,,,,,,,,,
EXPOSING WHAT MY SCHOOL WAS LIKE,MoreMarcus,55530,4186,41,760,,,,,,,,,,
My Day at Apple with the new iPhone X!,iJustine,749633,22523,1666,2550,,,,,,,,,,
Mother! - Movie Review,Jeremy Jahns,408663,12463,388,1423,,,,,,,,,,
Fall Out Boy - The Last Of The Real Ones,FallOutBoyVEVO,2082055,117075,2092,11432,,,,,,,,,,
Pregnancy CHAT & BUMP Update! 19-23 Weeks | Fleur De Vlog,FleurDeVlog,174176,8168,150,1298,,,,,,,,,,
