ISO_code,countries,region,personal freedom,economic freedom,human freedom,Demography,Education,Environmental sustainability,Gender,Health,Human Security,Income/composition of resources,Inequality,Poverty,Socio-economic sustainability,Trade and financial flows,"Work, employment and vulnerability",Happy Index
CRI,Costa Rica,Latin America & the Caribbean,8.165428969,7.55,7.857714484,133.85,231.519,0.82,29610.793,246.024,0.2,30337.953,89.748,1.5,58.2,68.38,380,44.7
CIV,Cote d'Ivoire,Sub-Saharan Africa,7.062542048,6,6.531271024,176.63,120.924,0.889,7910.108,186.025,40,7224.736,183.468,48.5,22.6,49.54,400.6,14.4
HRV,Croatia,Eastern Europe,8.456175752,6.96,7.708087876,118.16,367.091,0.899,45049.078,247.189,24.9,45023.216,47.236,0,111,106.63,318.6,30.2
CYP,Cyprus,Eastern Europe,8.514393916,7.71,8.112196958,113.47,317.008,0.983,63420.775,254.933,0,64274.069,59.89,0,104.6,158.87,373.8,30.7
CZE,Czech Rep.,Eastern Europe,9.029761414,7.56,8.294880707,147.26,389.293,0.971,61789.725,242.506,1.3,63627.465,29.566,0,121.5,150.46,326.1,9
DNK,Denmark,Western Europe,9.325639969,7.77,8.547819985,156.26,368.02,0.972,96243.347,247.637,0,95092.332,40.443,0,97.6,107.42,353.2,32.7
DOM,Dominican Rep.,Latin America & the Caribbean,6.942574962,7.18,7.061287481,157.95,234.843,0.735,28298.954,238.132,0.4,28759.646,106.74,3.8,21.8,58.54,405.2,9.8
ECU,Ecuador,Latin America & the Caribbean,7.550555359,6.06,6.80527768,149.95,617.297,0.686,21081.131,254.67,1.3,21168.001,99.84,10.8,72,38.46,430.3,37
EGY,Egypt,Middle East & North Africa,3.894553773,5.72,4.807276886,282.06,254.904,0.914,20808.126,226.995,22.1,22048.701,144.323,42.7,15.3,44.27,327.1,23.8
SLV,El Salvador,Latin America & the Caribbean,6.917901981,7.15,7.033950991,139.35,192.78,0.829,14294.208,241.827,25.9,14311.939,112.044,6.3,16.9,89.77,374.7,35.6
EST,Estonia,Eastern Europe,9.013701218,7.86,8.436850609,128.06,387.069,0.984,59280.047,246.588,0.3,58542.156,45.987,0,114.6,164.83,344.5,17.9
ETH,Ethiopia,Sub-Saharan Africa,5.064089941,5.73,5.397044971,282.94,82.627,0.84,4136.343,248.406,87.5,3670.03,138.918,51.5,39,32.51,517.1,26.7
FJI,Fiji,Oceania,7.792204395,6.79,7.291102197,111.56,270.085,0.671,16778.562,219.276,0.7,17156.468,11.591,11.2,0,6.21,379.3,8.9
FIN,Finland,Western Europe,9.294367917,7.65,8.472183958,157.05,391.105,0.989,82547.182,253.446,0,81956.009,30.977,0,111.1,82.45,344.6,31.3
FRA,France,Western Europe,8.766802927,7.25,8.008401464,264.05,334.04,0.875,79043.82,260.065,0.1,80632.302,53.945,0,106.1,66.27,336.4,30.4
GAB,Gabon,Sub-Saharan Africa,5.315575222,5.84,5.577787611,161.33,237.028,0.961,33199.3,256.315,0.2,33045.971,113.789,15.2,0,0,370.8,17.5
GMB,"Gambia, The",Sub-Saharan Africa,5.302684702,7.34,6.321342351,156.33,408.372,0.981,4058.174,201.937,14.6,3156.811,184.115,62.3,19.2,82.05,410.2,9.6
GEO,Georgia,Caucasus & Central Asia,7.576535507,8.02,7.798267753,118.28,370.945,0.863,19053.397,228.022,6.5,19058.983,63.372,16.8,31.9,126.33,449.5,31.1
DEU,Germany,Western Europe,9.235191378,7.69,8.462595689,288.26,383.54,0.983,92824.659,248.541,0.1,95253.727,42.752,0,106.3,96.96,328.8,29.8
GHA,Ghana,Sub-Saharan Africa,7.872177815,6.6,7.236088908,179.25,490.858,0.844,8850.9,195.762,17,8492.361,145.791,25.7,16.1,92.77,465.3,21.4
GRC,Greece,Eastern Europe,7.94676815,6.46,7.203384075,153.97,292.738,0.848,49733.232,249.145,0.1,49616.532,69.035,0,88.4,55.95,376,23.6
GTM,Guatemala,Latin America & the Caribbean,6.548245982,7.64,7.094122991,147.65,165.714,0.722,14983.586,247.725,16.3,14881.048,141.034,13.4,12.1,55.88,370.1,34.2
GIN,Guinea,Sub-Saharan Africa,5.371201607,5.93,5.650600803,141.92,47.339,0.896,5132.888,271.525,20.3,4250.057,163.49,69.4,43.1,140.63,448.1,15.9
GNB,Guinea-Bissau,Sub-Saharan Africa,6.859721724,5.25,6.054860862,127.43,13.892,0.96,3851.26,197.882,1.9,3128.814,198.119,78.2,10.5,66.69,458.7,20.1
GUY,Guyana,Latin America & the Caribbean,7.041795873,6.31,6.675897936,81.15,249.596,0.922,15353.859,205.219,0.3,14978.751,94.431,6.4,30.1,108.29,400.4,11
HTI,Haiti,Latin America & the Caribbean,7.184442588,6.51,6.847221294,135.55,125.933,0.721,4074.771,259.471,28.4,3380.025,193.969,50.7,43.4,104.55,488.4,28.6
HND,Honduras,Latin America & the Caribbean,6.386482597,7.06,6.723241298,131.15,156.602,0.744,8839.578,226.127,14.4,8881.165,128.393,21.9,23.8,118.91,397.5,27.2
HKG,Hong Kong,East Asia,8.583679591,8.97,8.776839796,153.77,325.155,0.823,119611.14,253.386,0,114912.062,67.554,1.2,22.3,393.23,346.3,16.8
HUN,Hungary,Eastern Europe,8.258945773,7.22,7.739472887,139.56,372.315,0.929,51682.717,230.863,3.3,52513.636,41.693,0,109.7,166.23,312.2,26.4
ISL,Iceland,Western Europe,9.083506216,7.22,8.151753108,148.05,396.312,0.872,91756.69,260.768,0,92432.126,33.219,0,95.6,72.08,407.3,31.1
IND,India,South Asia,6.195871335,6.63,6.412935668,2511.81,211.156,0.684,12941.813,228.251,7.9,21415.627,133.908,42.9,30.7,42.46,379.4,29.2
IDN,Indonesia,South Asia,6.38131246,7.16,6.77065623,584.65,209.422,0.763,22098.046,238.059,7,25068.608,95.962,27.6,74.2,38.59,429.3,35.7
IRN,Iran,Middle East & North Africa,4.532449245,6.03,5.281224623,266.35,279.941,0.835,38550.782,231.464,118.3,39783.094,59.035,1.1,34.2,46.41,323.2,24
IRQ,Iraq,Middle East & North Africa,3.11602762,5.4,4.25801381,215.47,196.734,0.819,35580.795,266.87,360.6,34070.683,103.428,31.6,17.4,74.42,323.7,26.5
IRL,Ireland,Western Europe,8.939129404,8.07,8.504564702,128.06,361.818,0.917,108058.26,255.848,0,121521.65,46.826,0,107,192.99,349.3,30
ISR,Israel,Middle East & North Africa,7.544916142,7.49,7.517458071,173.95,354.974,0.748,65822.676,251.864,0.5,66132.575,64.876,0,0,2.58,361,28.8
ITA,Italy,Western Europe,8.690446317,7.27,7.980223159,241.96,318.391,0.917,71421.94,260.372,0.1,72836.186,63.21,0,84.7,66.01,329.1,28.1
JAM,Jamaica,Latin America & the Caribbean,7.268416093,7.18,7.224208046,109.75,274.29,0.724,16056.86,239.163,2.2,16086.059,84.276,5.8,21.8,94.18,425.5,36.9
JPN,Japan,East Asia,8.73377055,7.47,8.101885275,402.96,364.748,0.785,78802.059,257.683,0.1,82933.801,21.51,0,0,2.49,330.4,28.3
